video_id,comments
mifUuUNE4PU,[]
zMQPalZqgv0,[]
oulDnMN23RQ,[]
jxn5FDTzBsE,[]
EeFHFD68Tsc,[]
o2mFRO5v0SU,[]
eNKkC7rrCmY,[]
7zZwOpGz448,[]
5pZh1MNKw00,[]
wUcKpYCAvX0,[]
07CrCNle7-M,[]
jZFTxxb1Fbk,[]
pQrs0t_Dtsg,[]
dbYJee3J7g0,[]
Zuta70yyWYk,[]
f1leS8riy28,[]
NxXY274IXtc,[]
FEEvj_p1enM,[]
ITi1Dq6N9yg,[]
jeGoJBTpS8Q,[]
pxjg-2sAgf0,[]
i7hKeVDQk2g,[]
lJq826QHgdY,[]
U-PCd5ke4iI,[]
uA9LLdNPTP4,[]
kBHds-isexQ,[]
x-0xqKDfgdg,[]
Ousj-3KKYm0,[]
xs3UXvPFiMs,[]
nyeERrsOB30,[]
8m9XFu7FRv8,[]
dg7UFrmtq0k,[]
sxgp12fbc7c,[]
IzAGug6A9GI,[]
G6U6E_yFDiQ,[]
iMTG9Xkjd_I,[]
suPocBJHpzI,[]
ZUX9D6ZZWBs,[]
ukgMVqH7uRA,[]
G_4ey4DhWqA,[]
4JhETzvdCyE,[]
GIr461DvuzU,[]
isNUojvZRbw,[]
kkS7uRCLyAc,[]
PDyWQ7M692k,[]
48vgYiehAyw,[]
HCww1rU9WxM,[]
4Pi1g9mr-z8,[]
OWnElMTZ7XE,[]
r09ygmVmGa8,[]
XgEWPviYO5k,[]
wbfaHUdO0Ds,[]
bcmCx8VBqBg,[]
gZbZ8Wtm7iw,[]
HaEB3FsMESY,[]
YbSZ0LpYzyw,[]
qZVoTLxQyz8,[]
TijHhQ1ZOAc,[]
K5tKZKN6E3c,[]
_IP8rck2sl8,[]
ScbensNd1iM,[]
nmvYS455E3Y,[]
1huMP3cE0bs,[]
sJv4w2Hcx1M,[]
lUn9aYE2UaM,[]
WopW7G6MPtg,[]
GDGmzDSqhSY,[]
tOl1-CxmEdc,[]
rEa_6479K7Y,[]
znFr6PhnXGc,[]
YuXJcjne5Go,[]
MMVM2hpU7gA,[]
NTketa45fTw,[]
OntaIpdAhRA,[]
RN8appCsxR8,[]
ODx9_KAy1kI,[]
1UdqJGdPkdU,[]
VcsmdnhY37Q,[]
wpbRV-uIFAo,[]
VsDzd6NM3eU,[]
BpRxakaWuwU,[]
UydbZkk9VrU,[]
9FAKk9vTJhg,[]
40RzLl5qjYA,[]
kNHCIXKkXMk,[]
pbm9qPzCiqc,[]
LpGJKsv4igQ,[]
Y3CK1JLbtEo,[]
PM1MwsA8qdA,[]
50Kn5Kdol9s,[]
NUxCSJeFQ50,[]
EFX5v0qAEUs,[]
rEJzK1F-2cA,[]
4AY8a-czFOQ,[]
T6Ts2cT-yvI,[]
8QJZfDPcaz4,[]
Xg4OKrCg6vM,[]
CPB_0qJ4AgM,[]
S03kveUaRJk,[]
Gi7gDOgsnps,[]
YMs-e0Yc9XE,[]
dyrd4wanl7I,[]
HRbmVSokSkI,[]
b2Dlr234MaE,[]
5uJAE9Btpmg,[]
RTYBM8Qkcao,[]
EBGfrS69yCw,[]
2CWrZvbWgw8,[]
r4RXvXwu7bY,[]
BgxqwZubhiQ,[]
bQxtnvaOazg,[]
oRbk-oxngA0,[]
WgbCjDQoI7I,[]
DljnNIXhibI,[]
heibwpK8JQY,[]
kx5RssP8ir8,[]
fV237GKtNIM,[]
4leF3zHz6vc,[]
juRzDana9No,[]
fqqh3_hYjMA,[]
cbORin1nFrg,[]
ALx9JhpoCnY,[]
KiGqLE1Z9EE,[]
XBiN1PnbCsM,[]
rIS-fgDeCto,[]
yHvDOkFc5u4,[]
nz2cRLmwZck,[]
5UFI7CiR-CY,[]
iuDvPA2QWWM,[]
06ZsDPRRwIQ,[]
eemWm4W0DVg,[]
TWDcdcbTVps,[]
qOGfDcVYOnc,[]
iVw_ZDnMJIA,[]
W2SH_6HrrZI,[]
5KdZRgxXxZ4,[]
raLBMEjutEc,[]
_Tdrwiev880,[]
ZoWdXDEh2y4,[]
qdYNRmy8wFw,[]
VDpLGRweJ98,[]
kEfwuvGCowU,[]
8t8_FGdd8nY,[]
nlaQIuYxXL0,[]
du3n96CoVfM,[]
zsp1VhjxylU,[]
i3XWQmLHMzM,[]
A6dEhyYefZk,[]
1q-JB1xHwbI,[]
hLWUJ3nmxNU,[]
msnbsuJ2zcQ,[]
l6F1HmPSwHI,[]
YtNxUnA59E0,[]
bQrWDXJ4ok4,[]
c23WmvDWYqE,[]
dmI_Hup8J6g,[]
8_iUWcP5CPg,[]
JCovaxRtglE,[]
IlMvFxWtDXc,[]
_nA3R2szJVs,[]
lFtuxTx1IYA,[]
eAZDV__zso8,[]
9okio0TxmxU,[]
-JcGcnJn7Rk,[]
QCOnA86FrC8,[]
xNs9279N7y0,[]
TRxEHpq3I5c,[]
MWbvV8Rd0lw,[]
U9ZQv83osjs,[]
s0JJWcCMMKw,[]
bULOxBEc4_4,[]
eywU6ZtmexU,[]
08CAIOmx4ek,[]
9ai_cy1jNzA,[]
sl_rPc51HRs,[]
KsnbeBpRmSg,[]
FmYTo8cz47g,[]
23CP9jINaaA,[]
DjyiNFRGyFU,[]
3M9l-BWZinA,[]
fSaTtXLVv1E,[]
t9eyuzvW-vk,[]
WJ5_7s8zpEA,[]
kSxAo4jFuRM,[]
SzzqTYcDQ-A,[]
NfpkMeTT0yE,[]
XjEXrrC3EsE,[]
kiT2IKs2PAM,[]
19sn4pwIT8w,[]
1YIF-_0iANg,[]
DDp-FJ6E11U,[]
4PHeqe8WisQ,[]
7WduN32UmM4,[]
8vdlyzZO-yg,[]
EKnb5ikDanw,[]
KyvTSlwTepc,[]
ThHk6EJDl7w,[]
cmkbWs8le8w,[]
kDKj9csM0_w,[]
lLDoPuKd6xE,[]
oM3fk-9KXLw,[]
tBDlhT6AzpI,[]
urXcJQZmpCE,[]
AAW7NrLmF3M,[]
heeeQ3u6kiI,[]
mWpEF9SQKHw,[]
6MTkF4I27pk,[]
KATIQ88HaOo,[]
YMwYJqj0F1E,[]
ZndwUOsCsI8,[]
gKMJYE4p8LM,[]
txJ5iQHfDEM,[]
orYiQNmtV38,[]
KRzBHIBmlrM,[]
EX7hwB0KCZU,[]
jSA-vvi1JrQ,[]
BcDWTcZIwuY,[]
AhoLWyRUigY,[]
1n1beZRyWh0,[]
lzrP3DC_vtM,[]
LG5Vj53rKJc,[]
DOb2Xd1rcgQ,[]
B4tPuYM9aeA,[]
FMeqxU8et8w,[]
1G987gYB_-4,[]
40YpKaR7f20,[]
IJoerWemcwo,[]
qyv_wND2eik,[]
MDlikzrceTY,[]
9g1wCcQoHEs,[]
OUrhmYMKtlI,[]
SIaPMVqmi0E,[]
00BASzBTv5o,[]
ijzJ8fe8s-4,[]
RBEThzTJo5k,[]
CbpiWeB6FW4,[]
rqhvjtXvqN4,[]
rWuT3DKvRPg,[]
V3kd13tJbcg,[]
U3dWYH0nncs,[]
xNXEBCXlWXw,[]
ZJvNM7KwC9o,[]
G_Fzwqeowf0,[]
aPRMgYmCAqk,[]
oVZ86LU_B58,[]
aoUjkQRHLpc,[]
qImoEofiTzI,[]
Fgl4jmnJYmU,[]
mewvm46OehI,[]
Io1f5g9UFec,[]
TKMXZnJhAAI,[]
G75giJZVKdc,[]
x52iMKF-kQM,[]
X9gRrvYIezs,[]
5CdxBz0qMMw,[]
MwPtRfxwlow,[]
RqOorf5bbXw,[]
qJkTh8udZjk,[]
ILVGLTZIvKc,[]
vxVfzr0p76k,[]
X_280DAXcJM,[]
eyJDYyDwxTs,[]
_xZqAJI4pq8,[]
o1CU7a_FQ2I,[]
ECiUrRdXcvo,[]
BVjh6S-6Y8U,[]
bDBQb287byo,[]
vGrWf2rziIM,[]
xZEYaqFw_Go,[]
h5L2ssPyDiQ,[]
PWAa6Xh4iz8,[]
qYJRX1JNtGI,[]
nNxnRw92e70,[]
npoWQCMRrW4,[]
YvmFqMskbMA,[]
M2Tvxvt67a0,[]
Mat49_2A5pM,[]
YP0JivD2wH4,[]
-I0DmsPEYbE,[]
qfrQnJMj8DQ,[]
vOvPdbv0XNs,[]
TLYN2WZNiKQ,[]
mSuI5DmsC4U,[]
C9HvyZ2WA7Q,[]
V9vSoIuVRGc,[]
mZmBJa3bon0,[]
_n3CQtHs0Wc,[]
qfgSnArzgIw,[]
HPBPVp7HlCY,[]
XFXd6Yay4xs,[]
gQbnG2Z2oDU,[]
oRQAgZ3Xxzk,[]
AArOmCzuj-I,[]
njEonqZMwW8,[]
FYqx2BrJR2s,[]
An9Nhj7op7U,[]
gtCmDFb6LIA,[]
cbubbXuAnIo,[]
1r-WpxIP_tE,[]
